INFO  11:13:29,819 | james.imapserver | ID=344898153 Connection closed for 127.0.0.1
INFO  11:13:29,824 | james.imapserver | ID=1852249694 Connection established from 127.0.0.1
INFO  11:13:29,871 | james.imapserver | ID=1852249694 Connection closed for 127.0.0.1
INFO  11:13:29,963 | james.imapserver | ID=2033074208 Connection established from 127.0.0.1
INFO  11:13:39,922 | james.imapserver | ID=2033074208 Connection closed for 127.0.0.1
INFO  11:13:39,927 | james.imapserver | ID=1805002500 Connection established from 127.0.0.1
INFO  11:13:39,987 | james.imapserver | ID=1805002500 Connection closed for 127.0.0.1
WARN  11:13:39,988 | james.imapserver | ID=1805002500 Error while processing imap request: java.nio.channels.ClosedChannelException - null
INFO  11:13:40,050 | james.imapserver | ID=1867123334 Connection established from 127.0.0.1
INFO  11:13:50,034 | james.imapserver | ID=1867123334 Connection closed for 127.0.0.1
INFO  11:13:50,042 | james.imapserver | ID=539418459 Connection established from 127.0.0.1
INFO  11:13:50,115 | james.imapserver | ID=539418459 Connection closed for 127.0.0.1
INFO  11:13:50,163 | james.imapserver | ID=137752027 Connection established from 127.0.0.1
INFO  11:14:00,154 | james.imapserver | ID=137752027 Connection closed for 127.0.0.1
INFO  11:14:00,163 | james.imapserver | ID=1997297874 Connection established from 127.0.0.1
INFO  11:14:00,212 | james.imapserver | ID=1997297874 Connection closed for 127.0.0.1
INFO  11:14:00,275 | james.imapserver | ID=1091152865 Connection established from 127.0.0.1
INFO  11:14:10,258 | james.imapserver | ID=1091152865 Connection closed for 127.0.0.1
INFO  11:14:10,270 | james.imapserver | ID=20457423 Connection established from 127.0.0.1
INFO  11:14:10,325 | james.imapserver | ID=20457423 Connection closed for 127.0.0.1
INFO  11:14:10,379 | james.imapserver | ID=1158787459 Connection established from 127.0.0.1
INFO  11:14:20,371 | james.imapserver | ID=1158787459 Connection closed for 127.0.0.1
INFO  11:14:20,386 | james.imapserver | ID=682090395 Connection established from 127.0.0.1
INFO  11:14:20,495 | james.imapserver | ID=682090395 Connection closed for 127.0.0.1
INFO  11:14:20,575 | james.imapserver | ID=1933918370 Connection established from 127.0.0.1
INFO  11:14:30,558 | james.imapserver | ID=1933918370 Connection closed for 127.0.0.1
INFO  11:14:30,564 | james.imapserver | ID=22354577 Connection established from 127.0.0.1
INFO  11:14:30,614 | james.imapserver | ID=22354577 Connection closed for 127.0.0.1
INFO  11:14:30,663 | james.imapserver | ID=1627107756 Connection established from 127.0.0.1
INFO  11:14:40,654 | james.imapserver | ID=1627107756 Connection closed for 127.0.0.1
INFO  11:14:40,660 | james.imapserver | ID=473543496 Connection established from 127.0.0.1
INFO  11:14:40,758 | james.imapserver | ID=473543496 Connection closed for 127.0.0.1
INFO  11:14:40,844 | james.imapserver | ID=219117310 Connection established from 127.0.0.1
INFO  11:14:42,365 | james.imapserver | ID=219117310 Connection closed for 127.0.0.1
INFO  11:14:45,760 | james.imapserver | ID=1684273617 Connection established from 127.0.0.1
INFO  11:14:55,746 | james.imapserver | ID=1684273617 Connection closed for 127.0.0.1
INFO  11:14:55,758 | james.imapserver | ID=71545456 Connection established from 127.0.0.1
INFO  11:14:55,800 | james.imapserver | ID=71545456 Connection closed for 127.0.0.1
INFO  11:14:55,915 | james.imapserver | ID=1195538941 Connection established from 127.0.0.1
INFO  11:15:04,368 | james.imapserver | ID=1195538941 Connection closed for 127.0.0.1
INFO  11:15:08,074 | james.imapserver | ID=1074417020 Connection established from 127.0.0.1
INFO  11:15:11,542 | james.imapserver | ID=231217702 Connection established from 127.0.0.1
INFO  11:15:18,066 | james.imapserver | ID=1074417020 Connection closed for 127.0.0.1
INFO  11:15:18,072 | james.imapserver | ID=1528605169 Connection established from 127.0.0.1
INFO  11:15:18,110 | james.imapserver | ID=1528605169 Connection closed for 127.0.0.1
INFO  11:15:18,180 | james.imapserver | ID=1197684733 Connection established from 127.0.0.1
INFO  11:15:28,157 | james.imapserver | ID=1197684733 Connection closed for 127.0.0.1
INFO  11:15:28,164 | james.imapserver | ID=2031871647 Connection established from 127.0.0.1
INFO  11:15:28,203 | james.imapserver | ID=2031871647 Connection closed for 127.0.0.1
INFO  11:15:28,252 | james.imapserver | ID=669480065 Connection established from 127.0.0.1
INFO  11:15:38,241 | james.imapserver | ID=669480065 Connection closed for 127.0.0.1
INFO  11:15:38,249 | james.imapserver | ID=1422618503 Connection established from 127.0.0.1
INFO  11:15:38,293 | james.imapserver | ID=1422618503 Connection closed for 127.0.0.1
INFO  11:15:38,340 | james.imapserver | ID=540089066 Connection established from 127.0.0.1
INFO  11:15:48,334 | james.imapserver | ID=540089066 Connection closed for 127.0.0.1
INFO  11:15:48,340 | james.imapserver | ID=1328125648 Connection established from 127.0.0.1
INFO  11:15:48,402 | james.imapserver | ID=1328125648 Connection closed for 127.0.0.1
INFO  11:15:48,463 | james.imapserver | ID=718289710 Connection established from 127.0.0.1
INFO  11:15:58,453 | james.imapserver | ID=718289710 Connection closed for 127.0.0.1
INFO  11:15:58,458 | james.imapserver | ID=1650894065 Connection established from 127.0.0.1
INFO  11:15:58,496 | james.imapserver | ID=1650894065 Connection closed for 127.0.0.1
INFO  11:15:58,538 | james.imapserver | ID=1058154492 Connection established from 127.0.0.1
INFO  11:16:08,533 | james.imapserver | ID=1058154492 Connection closed for 127.0.0.1
INFO  11:16:08,539 | james.imapserver | ID=1481035584 Connection established from 127.0.0.1
INFO  11:16:08,589 | james.imapserver | ID=1481035584 Connection closed for 127.0.0.1
INFO  11:16:08,728 | james.imapserver | ID=1633329288 Connection established from 127.0.0.1
INFO  11:16:18,718 | james.imapserver | ID=1633329288 Connection closed for 127.0.0.1
INFO  11:16:18,723 | james.imapserver | ID=97063475 Connection established from 127.0.0.1
INFO  11:16:18,761 | james.imapserver | ID=97063475 Connection closed for 127.0.0.1
INFO  11:16:18,820 | james.imapserver | ID=879098920 Connection established from 127.0.0.1
INFO  11:16:28,804 | james.imapserver | ID=879098920 Connection closed for 127.0.0.1
INFO  11:16:28,812 | james.imapserver | ID=1295601987 Connection established from 127.0.0.1
INFO  11:16:28,872 | james.imapserver | ID=1295601987 Connection closed for 127.0.0.1
INFO  11:16:28,917 | james.imapserver | ID=750858640 Connection established from 127.0.0.1
INFO  11:16:38,913 | james.imapserver | ID=750858640 Connection closed for 127.0.0.1
INFO  11:16:38,926 | james.imapserver | ID=1327632260 Connection established from 127.0.0.1
INFO  11:16:39,013 | james.imapserver | ID=1327632260 Connection closed for 127.0.0.1
INFO  11:16:39,082 | james.imapserver | ID=757874129 Connection established from 127.0.0.1
INFO  11:16:49,072 | james.imapserver | ID=757874129 Connection closed for 127.0.0.1
INFO  11:16:49,078 | james.imapserver | ID=228605195 Connection established from 127.0.0.1
INFO  11:16:49,123 | james.imapserver | ID=228605195 Connection closed for 127.0.0.1
INFO  11:16:49,225 | james.imapserver | ID=1866665178 Connection established from 127.0.0.1
INFO  11:16:59,215 | james.imapserver | ID=1866665178 Connection closed for 127.0.0.1
INFO  11:16:59,220 | james.imapserver | ID=1003051711 Connection established from 127.0.0.1
INFO  11:16:59,275 | james.imapserver | ID=1003051711 Connection closed for 127.0.0.1
INFO  11:16:59,346 | james.imapserver | ID=81845942 Connection established from 127.0.0.1
INFO  11:17:09,325 | james.imapserver | ID=81845942 Connection closed for 127.0.0.1
INFO  11:17:09,330 | james.imapserver | ID=693476961 Connection established from 127.0.0.1
INFO  11:17:09,365 | james.imapserver | ID=693476961 Connection closed for 127.0.0.1
INFO  11:17:09,440 | james.imapserver | ID=1239194805 Connection established from 127.0.0.1
INFO  11:17:19,436 | james.imapserver | ID=1239194805 Connection closed for 127.0.0.1
INFO  11:17:19,442 | james.imapserver | ID=1434824549 Connection established from 127.0.0.1
INFO  11:17:19,478 | james.imapserver | ID=1434824549 Connection closed for 127.0.0.1
INFO  11:17:19,558 | james.imapserver | ID=1824412971 Connection established from 127.0.0.1
INFO  11:17:29,553 | james.imapserver | ID=1824412971 Connection closed for 127.0.0.1
INFO  11:17:29,560 | james.imapserver | ID=1893109607 Connection established from 127.0.0.1
INFO  11:17:29,601 | james.imapserver | ID=1893109607 Connection closed for 127.0.0.1
INFO  11:17:29,646 | james.imapserver | ID=2112000385 Connection established from 127.0.0.1
INFO  11:17:39,640 | james.imapserver | ID=2112000385 Connection closed for 127.0.0.1
INFO  11:17:39,647 | james.imapserver | ID=921237821 Connection established from 127.0.0.1
INFO  11:17:39,685 | james.imapserver | ID=921237821 Connection closed for 127.0.0.1
INFO  11:17:39,739 | james.imapserver | ID=1610976213 Connection established from 127.0.0.1
INFO  11:17:49,730 | james.imapserver | ID=1610976213 Connection closed for 127.0.0.1
INFO  11:17:49,738 | james.imapserver | ID=1816419699 Connection established from 127.0.0.1
INFO  11:17:49,780 | james.imapserver | ID=1816419699 Connection closed for 127.0.0.1
INFO  11:17:49,838 | james.imapserver | ID=983883427 Connection established from 127.0.0.1
INFO  11:17:59,824 | james.imapserver | ID=983883427 Connection closed for 127.0.0.1
INFO  11:17:59,830 | james.imapserver | ID=1243137701 Connection established from 127.0.0.1
INFO  11:17:59,869 | james.imapserver | ID=1243137701 Connection closed for 127.0.0.1
INFO  11:17:59,929 | james.imapserver | ID=1036618496 Connection established from 127.0.0.1
INFO  11:18:09,911 | james.imapserver | ID=1036618496 Connection closed for 127.0.0.1
INFO  11:18:09,917 | james.imapserver | ID=2017198241 Connection established from 127.0.0.1
INFO  11:18:09,951 | james.imapserver | ID=2017198241 Connection closed for 127.0.0.1
INFO  11:18:09,989 | james.imapserver | ID=136015095 Connection established from 127.0.0.1
INFO  11:18:19,983 | james.imapserver | ID=136015095 Connection closed for 127.0.0.1
INFO  11:18:19,988 | james.imapserver | ID=173456879 Connection established from 127.0.0.1
INFO  11:18:20,024 | james.imapserver | ID=173456879 Connection closed for 127.0.0.1
INFO  11:18:20,103 | james.imapserver | ID=2078986540 Connection established from 127.0.0.1
INFO  11:18:30,075 | james.imapserver | ID=2078986540 Connection closed for 127.0.0.1
INFO  11:18:30,082 | james.imapserver | ID=1791357317 Connection established from 127.0.0.1
INFO  11:18:30,118 | james.imapserver | ID=1791357317 Connection closed for 127.0.0.1
INFO  11:18:30,165 | james.imapserver | ID=1152238127 Connection established from 127.0.0.1
INFO  11:18:40,155 | james.imapserver | ID=1152238127 Connection closed for 127.0.0.1
INFO  11:18:40,161 | james.imapserver | ID=1209212797 Connection established from 127.0.0.1
INFO  11:18:40,195 | james.imapserver | ID=1209212797 Connection closed for 127.0.0.1
INFO  11:18:40,245 | james.imapserver | ID=335246756 Connection established from 127.0.0.1
INFO  11:18:50,232 | james.imapserver | ID=335246756 Connection closed for 127.0.0.1
INFO  11:18:50,236 | james.imapserver | ID=844726529 Connection established from 127.0.0.1
INFO  11:18:50,274 | james.imapserver | ID=844726529 Connection closed for 127.0.0.1
INFO  11:18:50,318 | james.imapserver | ID=676909483 Connection established from 127.0.0.1
INFO  11:19:00,310 | james.imapserver | ID=676909483 Connection closed for 127.0.0.1
INFO  11:19:00,318 | james.imapserver | ID=955144605 Connection established from 127.0.0.1
INFO  11:19:00,363 | james.imapserver | ID=955144605 Connection closed for 127.0.0.1
INFO  11:19:00,421 | james.imapserver | ID=12023151 Connection established from 127.0.0.1
INFO  11:19:10,406 | james.imapserver | ID=12023151 Connection closed for 127.0.0.1
INFO  11:19:10,410 | james.imapserver | ID=10092839 Connection established from 127.0.0.1
INFO  11:19:10,450 | james.imapserver | ID=10092839 Connection closed for 127.0.0.1
INFO  11:19:10,490 | james.imapserver | ID=874151273 Connection established from 127.0.0.1
INFO  11:19:20,481 | james.imapserver | ID=874151273 Connection closed for 127.0.0.1
INFO  11:19:20,486 | james.imapserver | ID=976181087 Connection established from 127.0.0.1
INFO  11:19:20,523 | james.imapserver | ID=976181087 Connection closed for 127.0.0.1
INFO  11:19:20,577 | james.imapserver | ID=965726452 Connection established from 127.0.0.1
INFO  11:19:30,571 | james.imapserver | ID=965726452 Connection closed for 127.0.0.1
